,Authors,Title,Year,Cited by,Funding Details,Country
1290,"Ahmad T., Chen H.",Nonlinear autoregressive and random forest approaches to forecasting electricity load for utility energy management systems,2019,32.0,National Natural Science Foundation of China,China
1291,"Zhang G., Li Z., Wu W.-Z., Liu X., Xie N.",Information structures and uncertainty measures in a fully fuzzy information system,2018,32.0,"National Natural Science Foundation of China

Natural Science Foundation of Guangxi Province

Natural Science Foundation of Zhejiang Province

Special Fund for Distinguished Experts in Guangxi of China",China
1292,"Sun Y., Tang K., Zhu Z., Yao X.",Concept Drift Adaptation by Exploiting Historical Knowledge,2018,32.0,"National Natural Science Foundation of China

Ministry of Science and Technology of the People's Republic of China

Science, Technology and Innovation Commission of Shenzhen Municipality",China
1293,"Chen M., Leung V.C.M.",From cloud-based communications to cognition-based communications: A computing perspective,2018,32.0,"National Natural Science Foundation of China

Henan University of Science and Technology

Luonnontieteiden ja Tekniikan Tutkimuksen Toimikunta

Fundamental Research Funds for the Central Universities",China
1294,"ZHANG D., CHEN Y., MENG J.",Synthetic well logs generation via Recurrent Neural Networks,2018,32.0,"National Natural Science Foundation of China

National Major Science and Technology Projects of China",China
1295,"Zhong J., Sun Y., Peng W., Xie M., Yang J., Tang X.",XGBFEMF: An XGBoost-Based framework for essential protein prediction,2018,32.0,"Scientific Research Foundation of Hunan Provincial Education Department

National Natural Science Foundation of China

Natural Science Foundation of Hunan Province

Natural Science Foundation of Yunnan Province",China
1296,"Chen X., Kang W., Zhu D., Zhang X., Lei N., Zhang Y., Zhou Y., Zhao W.",A compact skyrmionic leaky-integrate-fire spiking neuron device,2018,32.0,"National Natural Science Foundation of China

Ministry of Science and Technology of the People's Republic of China

Project 211

Shenzhen Fundamental Research and Discipline Layout project",China
1297,"Cheng L., Yu T.",Dissolved gas analysis principle-based intelligent approaches to fault diagnosis and decision making for large oil-immersed power transformers: A survey,2018,32.0,National Natural Science Foundation of China,China
1298,"Zhang M., Yang M., Wu Q., Zheng R., Zhu J.",Smart perception and autonomic optimization: A novel bio-inspired hybrid routing protocol for MANETs,2018,32.0,"National Natural Science Foundation of China

Henan Province University Innovation Talents Support Program

Program for Jilin University Science and Technology Innovative Research Team",China
1299,"Yang M., Zhu T., Liu B., Xiang Y., Zhou W.",Machine Learning Differential Privacy With Multifunctional Aggregation in a Fog Computing Architecture,2018,32.0,National Natural Science Foundation of China,China
1300,"Li J., Wang R., Wang J., Li Y.",Analysis and forecasting of the oil consumption in China based on combination models optimized by artificial intelligence algorithms,2018,32.0,National Natural Science Foundation of China,China
1301,"He Z., Cao W., Yuan J., He Z., Zhang Z.",Fast Deep Neural Networks with Knowledge Guided Training and Predicted Regions of Interests for Real-Time Video Object Detection,2018,32.0,"National Science Foundation

National Natural Science Foundation of China",China
1302,"Zhu N., Liu X., Liu Z., Hu K., Wang Y., Tan J., Huang M., Zhu Q., Ji X., Jiang Y., Guo Y.","Deep learning for smart agriculture: Concepts, tools, applications, and opportunities",2018,32.0,"National Natural Science Foundation of China

Jiangnan University

Fundamental Research Funds for the Central Universities

Higher Education Discipline Innovation Project",China
1303,"Li C., Ding Z., Yi J., Lv Y., Zhang G.",Deep belief network based hybrid model for building energy consumption prediction,2018,32.0,"National Natural Science Foundation of China

Natural Science Foundation of Shandong Province",China
1304,"Liu L., Wang B.-S., Yu B., Zhong Q.-X.",Automatic malware classification and new malware detection using machine learning,2017,32.0,"National Natural Science Foundation of China

National Basic Research Program of China (973 Program)",China
1305,"Yu H., Wu Z., Chen D., Ma X.",Probabilistic Prediction of Bus Headway Using Relevance Vector Machine Regression,2017,32.0,"Institute of Turkish Studies

National Natural Science Foundation of China

Beihang University

Key Laboratory of Remote Measuring and Control, Jiangsu Province

Government of Jiangsu Province

Ministry of Security and Public Administration

Beijing Nova Program

Nanjing University",China
1306,"Ma L., Liu X., Gao Y., Zhao Y., Zhao X., Zhou C.",A new method of content based medical image retrieval and its applications to CT imaging sign retrieval,2017,32.0,"National Natural Science Foundation of China

Program for New Century Excellent Talents in University",China
1307,"Suram S.K., Xue Y., Bai J., Le Bras R., Rappazzo B., Bernstein R., Bjorck J., Zhou L., Van Dover R.B., Gomes C.P., Gregoire J.M.",Automated phase mapping with AgileFD and its application to light absorber discovery in the V-Mn-Nb oxide system,2017,32.0,"National Science Foundation

U.S. Department of Energy

Army Research Office

Office of Science",China
1308,"Wang H., Gao X., Zhang K., Li J.",Single-Image Super-Resolution Using Active-Sampling Gaussian Process Regression,2016,32.0,"National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities

Shaanxi Key Science and Technology Innovation Team Project",China
1309,"Shen J., Deng C., Gao X.",Attraction recommendation: Towards personalized tourism via collective intelligence,2016,32.0,"National Natural Science Foundation of China

Program for New Century Excellent Talents in University

National High-tech Research and Development Program

Fundamental Research Funds for the Central Universities

Key Science and Technology Program of Shaanxi Province

Program for Changjiang Scholars and Innovative Research Team in University",China
1310,"Chen Z., Wu C., Zhang Y., Huang Z., Ran B., Zhong M., Lyu N.",Feature selection with redundancy-complementariness dispersion,2015,32.0,"National Natural Science Foundation of China

Huazhong University of Science and Technology

China Scholarship Council

Fundamental Research Funds for the Central Universities",China
1311,"Yuan Y., Jiang Z., Wang Q.",Video-based road detection via online structural learning,2015,32.0,"National Natural Science Foundation of China

Natural Science Foundation of Shaanxi Province

National Key Research and Development Program of China

Fundamental Research Funds for the Central Universities",China
1312,"Gong M., Tian D., Su L., Jiao L.",An efficient bi-convex fuzzy variational image segmentation method,2015,32.0,"Specialized Research Fund for the Doctoral Program of Higher Education of China

Fundamental Research Funds for the Central Universities

National Natural Science Foundation of China",China
1313,"Xie X., Sun S.",Multi-view Laplacian twin support vector machines,2014,32.0,National Natural Science Foundation of China,China
1314,"Cao P., Yang J., Li W., Zhao D., Zaiane O.",Ensemble-based hybrid probabilistic sampling for imbalanced data learning in lung nodule CAD,2014,32.0,"University of Alberta

National Natural Science Foundation of China

China Scholarship Council",China
1315,"Liang X.-D., Li L.-Y., Wu J.-G., Chen H.-N.",Mobile robot path planning based on adaptive bacterial foraging algorithm,2013,32.0,National Natural Science Foundation of China,China
1316,"Zhang F., Zhang Z., Liu Y., Lu H., Leng J.",The quintuple-shape memory effect in electrospun nanofiber membranes,2013,32.0,0,China
1317,"Han H.-G., Wang L.-D., Qiao J.-F.",Efficient self-organizing multilayer neural network for nonlinear system modeling,2013,32.0,"National Natural Science Foundation of China

Beijing Municipal Natural Science Foundation",China
1318,"Lu X., Chen H., Wang P., Gao B.",Design of a data-driven predictive controller for start-up process of AMT vehicles,2011,32.0,"National Natural Science Foundation of China

Program for Changjiang Scholars and Innovative Research Team in University",China
1319,"Gao C., Jian L., Liu X., Chen J., Sun Y.",Data-driven modeling based on volterra series for multidimensional blast furnace system,2011,32.0,National Natural Science Foundation of China,China
1320,"Wu H.-N., Qiang X.-H., Guo L.",L∞-Gain adaptive fuzzy fault accommodation control design for nonlinear time-delay systems,2011,32.0,"National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities",China
1321,"Zeng T., Liu J.",Mixture classification model based on clinical markers for breast cancer prognosis,2010,32.0,National Natural Science Foundation of China,China
1322,"Wang C., Wu C., Chen D., Du W.",Some properties of relation information systems under homomorphisms,2008,32.0,National Natural Science Foundation of China,China
1323,"Wu Q., Xia T., Chen C., Lin H.-Y.S., Wang H., Yu Y.",Hierarchical tensor approximation of multidimensional visual data,2008,32.0,National Science Foundation,China
1324,"Wang R., Jiao X.",Stochastic model and neural coding of large-scale neuronal population with variable coupling strength,2006,32.0,National Natural Science Foundation of China,China
1325,"Zhuang Y., Zhang X., Wu J., Lu X.",Retrieval of Chinese calligraphic character image,2004,32.0,National Natural Science Foundation of China,China
1326,"Qu L., Sun R.",Synergetic approach to genetic algorithms for solving traveling salesman problem,1999,32.0,National Science Foundation,China
1327,"Guo H., Zhou J., Koopialipoor M., Jahed Armaghani D., Tahir M.M.",Deep neural network and whale optimization algorithm to assess flyrock induced by blasting,2021,31.0,"National Natural Science Foundation of China

Central South University

China Postdoctoral Science Foundation",China
1328,"Hao M., Li H., Luo X., Xu G., Yang H., Liu S.",Efficient and Privacy-Enhanced Federated Learning for Industrial Artificial Intelligence,2020,31.0,"National Natural Science Foundation of China

National Key Research and Development Program of China

Fujian Provincial Key Laboratory of Network Security and Cryptography",China
1329,"Ding R.-X., Palomares I., Wang X., Yang G.-R., Liu B., Dong Y., Herrera-Viedma E., Herrera F.","Large-Scale decision-making: Characterization, taxonomy, challenges and future directions from an Artificial Intelligence and applications perspective",2020,31.0,"National Natural Science Foundation of China

Ministerio de Economía y Competitividad

European Regional Development Fund",China
1330,"Song X., Liu Y., Xue L., Wang J., Zhang J., Wang J., Jiang L., Cheng Z.",Time-series well performance prediction based on Long Short-Term Memory (LSTM) neural network model,2020,31.0,"National Natural Science Foundation of China

National Basic Research Program of China (973 Program)",China
1331,"Cheng Y., Ma Y., Li L., Zhu M., Yue Y., Liu W., Wang L., Jia S., Li C., Qi T., Wang J., Gao Y.",Bioinspired Microspines for a High-Performance Spray Ti3C2Tx MXene-Based Piezoresistive Sensor,2020,31.0,"National Natural Science Foundation of China

Huazhong University of Science and Technology

Natural Science Foundation of Hubei Province

Fundamental Research Funds for the Central Universities",China
1332,"Zhao Y., Yan B., Li Z., Wang W., Wang Y., Zhang J.",Coordination between control layer AI and on-board AI in optical transport networks [Invited],2020,31.0,"National Natural Science Foundation of China

State Key Laboratory of Information Photonics and Optical Communications

Fundamental Research Funds for the Central Universities",China
1333,"Li L., Chen Y., Shen Z., Zhang X., Sang J., Ding Y., Yang X., Li J., Chen M., Jin C., Chen C., Yu C.",Convolutional neural network for the diagnosis of early gastric cancer based on magnifying narrow band imaging,2020,31.0,Natural Science Foundation of Zhejiang Province,China
1334,"Zhang W., Yang D., Wang H.",Data-Driven Methods for Predictive Maintenance of Industrial Equipment: A Survey,2019,31.0,"National Natural Science Foundation of China

National Basic Research Program of China (973 Program)

Fundamental Research Funds for the Central Universities",China
1335,"Yang F., Ma J.",Deep-learning inversion: A next-generation seismic velocity model building method,2019,31.0,"National Natural Science Foundation of China

China Scholarship Council

National Key Research and Development Program of China",China
1336,"Wang Y.-Q., Wang Z.-F., Cheng W.-C.","A review on land subsidence caused by groundwater withdrawal in Xi’an, China",2019,31.0,"National Natural Science Foundation of China

China Postdoctoral Science Foundation

National Aerospace Science Foundation of China",China
1337,"He Q., Wu Y., Feng Z., Sun C., Fan W., Zhou Z., Meng K., Fan E., Yang J.",Triboelectric vibration sensor for a human-machine interface built on ubiquitous surfaces,2019,31.0,"National Natural Science Foundation of China

Chongqing Municipal Education Commission

National Key Research and Development Program of China

Fundamental Research Funds for the Central Universities",China
1338,"Lu W., Tong Y., Yu Y., Xing Y., Chen C., Shen Y.",Deep learning-based automated classification of multi-categorical abnormalities from optical coherence tomography images,2018,31.0,"National Natural Science Foundation of China

International Science and Technology Cooperation Programme",China
1339,"Zhou T., Liu F., Bhaskar H., Yang J.",Robust Visual Tracking via Online Discriminative and Low-Rank Dictionary Learning,2018,31.0,"National Natural Science Foundation of China

Aeronautical Science Foundation of China",China
1340,"Wu Y., Wang G.",Machine learning based toxicity prediction: From chemical structural description to transcriptome analysis,2018,31.0,National Natural Science Foundation of China,China
1341,"Guo K., Lu Y., Gao H., Cao R.",Artificial intelligence-based semantic internet of things in a user-centric smart city,2018,31.0,"National Natural Science Foundation of China

National Basic Research Program of China (973 Program)",China
1342,"Yang Y., Guan L., Gao G.","Low-Cost, Rapidly Responsive, Controllable, and Reversible Photochromic Hydrogel for Display and Storage",2018,31.0,National Natural Science Foundation of China,China
1343,"Cheng L., Wu X.-H., Wang Y.",Artificial flora (AF) optimization algorithm,2018,31.0,"National Natural Science Foundation of China

Natural Science Foundation of Hebei Province",China
1344,"Zhang J., Li Z., Pu Z., Xu C.",Comparing prediction performance for crash injury severity among various machine learning and statistical methods,2018,31.0,"National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities",China
1345,"Zhang W., Han S., He H., Chen H.",Network-aware virtual machine migration in an overcommitted cloud,2017,31.0,"National Natural Science Foundation of China

Doctoral Program Foundation of Institutions of Higher Education of China",China
1346,"Wang S., Wang H.",Unsupervised feature selection via low-rank approximation and structure learning,2017,31.0,National Natural Science Foundation of China,China
1347,"Zhang L., Liu Y., He Z., Liu J., Deng P., Zhou X.",Anti-drift in E-nose: A subspace projection approach with drift reduction,2017,31.0,"University of California, San Diego

National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities

",China
1348,"Zhang F., Wang J., Liu S., Zhang S., Sutherland J.W.",Integrating GIS with optimization method for a biofuel feedstock supply chain,2017,31.0,"National Natural Science Foundation of China

Smoking Research Foundation

Program for New Century Excellent Talents in University

Science Foundation of China University of Petroleum, Beijing",China
1349,"Zhou Y., Wu J., Yu Z., Ji L., Hao L.",A hierarchical method for transient stability prediction of power systems using the confidence of a SVM-based ensemble classifier,2016,31.0,"National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities",China
1350,"Wang W., Chang Q., Li Q., Shi Z., Chen W.",Indoor-outdoor detection using a smart phone sensor,2016,31.0,National Natural Science Foundation of China,China
1351,"Chen S., Yi J., Jiang H., Zhu X.",Ontology and CBR based automated decision-making method for the disassembly of mechanical products,2016,31.0,"National Natural Science Foundation of China

Science and Technology Commission of Shanghai Municipality

Fundamental Research Funds for the Central Universities",China
1352,"Zhou Q., Zhou H., Zhou Q., Yang F., Luo L., Li T.",Structural damage detection based on posteriori probability support vector machine and Dempster-Shafer evidence theory,2015,31.0,"National Natural Science Foundation of China

Nanjing University of Science and Technology

Key Laboratory of Image and Video Understanding for Social Safety",China
1353,"Peng Y., Lu B.-L., Wang S.",Enhanced low-rank representation via sparse manifold adaption for semi-supervised learning,2015,31.0,"National Natural Science Foundation of China

Science and Technology Commission of Shanghai Municipality

China Scholarship Council

Seventh Framework Programme

National Key Research and Development Program of China",China
1354,"Wei C., Zhao N., Tang X.",A novel linguistic group decision-making model based on extended hesitant fuzzy linguistic term sets,2015,31.0,National Natural Science Foundation of China,China
1355,"Cao J., Zhang L., Wang B., Li F., Yang J.",A fast gene selection method for multi-cancer classification using multiple support vector data description,2015,31.0,"National Natural Science Foundation of China

Natural Science Foundation of Jiangsu Province

Natural Science Research of Jiangsu Higher Education Institutions of China",China
1356,"Chen H., Tino P., Yao X.",Efficient probabilistic classification vector machine with incremental basis function selection,2014,31.0,"Seventh Framework Programme

Engineering and Physical Sciences Research Council

Biotechnology and Biological Sciences Research Council",China
1357,"Wu J., Cai Z.",A naive Bayes probability estimation model based on self-adaptive differential evolution,2014,31.0,"National Natural Science Foundation of China

China University of Geosciences, Wuhan",China
1358,"Wu M., Chen X., Cao W., She J., Wang C.",An intelligent integrated optimization system for the proportioning of iron ore in a sintering process,2014,31.0,National Natural Science Foundation of China,China
1359,"Wang H.-Q., Li J.-S., Zhang Y.-F., Suzuki M., Araki K.",Creating personalised clinical pathways by semantic interoperability with electronic health records,2013,31.0,"National Natural Science Foundation of China

National Science and Technology Infrastructure Program",China
1360,"Liang C., Peng L.",An automated diagnosis system of liver disease using artificial immune and genetic algorithms,2013,31.0,"National Natural Science Foundation of China

Natural Science Foundation of Guangdong Province",China
1361,"Gao Y., Guan H., Qi Z., Wang B., Liu L.",Quality of service aware power management for virtualized data centers,2013,31.0,"National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

Program for New Century Excellent Talents in University

National High-tech Research and Development Program

National Basic Research Program of China (973 Program)",China
1362,"Wu O., Hu W., Maybank S.J., Zhu M., Li B.",Efficient clustering aggregation based on data fragments,2012,31.0,National Natural Science Foundation of China,China
1363,"Zhong Y., Zhang L., Gong W.",Unsupervised remote sensing image classification using an artificial immune network,2011,31.0,"National Natural Science Foundation of China

Foundation for the Author of National Excellent Doctoral Dissertation of the People's Republic of China

Natural Science Foundation of Hubei Province

Program for New Century Excellent Talents in University

National Laboratory of Pattern Recognition

Fundamental Research Funds for the Central Universities

Major State Basic Research Development Program of China

Specialized Research Fund for the Doctoral Program of Higher Education of China",China
1364,"Li X., Liao B., Shu Y., Zeng Q., Luo J.",Protein functional class prediction using global encoding of amino acid sequence,2009,31.0,National Natural Science Foundation of China,China
1365,"Wang G.-L., Zhou Y., Chen A.-H., Zhang P.-M., Liang P.-J.",A robust method for spike sorting with automatic overlap decomposition,2006,31.0,"National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

National Key Research and Development Program of China",China
1366,"Deng S., Zhao H., Fang W., Yin J., Dustdar S., Zomaya A.Y.",Edge Intelligence: The Confluence of Edge Computing and Artificial Intelligence,2020,30.0,"National Natural Science Foundation of China

Natural Science Foundation of Zhejiang Province

National Key Research and Development Program of China",China
1367,"Qu Y.J., Ming X.G., Liu Z.W., Zhang X.Y., Hou Z.T.",Smart manufacturing systems: state of the art and future trends,2019,30.0,National Natural Science Foundation of China,China
1368,"Liu Q., Liu Z., Xu W., Tang Q., Zhou Z., Pham D.T.",Human-robot collaboration in disassembly for sustainable manufacturing,2019,30.0,"Engineering and Physical Sciences Research Council

National Natural Science Foundation of China

Hubei Technological Innovation Special Fund",China
1369,"Sodhro A.H., Luo Z., Sodhro G.H., Muzamal M., Rodrigues J.J.P.C., de Albuquerque V.H.C.",Artificial Intelligence based QoS optimization for multimedia communication in IoV systems,2019,30.0,"National Natural Science Foundation of China

Chinese Academy of Sciences

Conselho Nacional de Desenvolvimento Científico e Tecnológico

Higher Education Commission, Pakistan

Shenzhen Science and Technology Innovation Commission

University of Chinese Academy of Sciences",China
1370,"Elahi E., Weijun C., Zhang H., Nazeer M.",Agricultural intensification and damages to human health in relation to agrochemicals: Application of artificial intelligence,2019,30.0,"National Natural Science Foundation of China

Nanjing University of Information Science and Technology

Startup Foundation for Introducing Talent of Nanjing University of Information Science and Technology",China
1371,"Cen Z., Wang J.",Crude oil price prediction model with long short term memory deep learning based on prior knowledge data transfer,2019,30.0,National Natural Science Foundation of China,China
1372,"Cao X., Zou X., Jia C., Chen M., Zeng Z.",RRT-based path planning for an intelligent litchi-picking manipulator,2019,30.0,"National Natural Science Foundation of China

Science and Technology Planning Project of Guangdong Province",China
1373,"Cui S., Wang D., Wang Y., Yu P.-W., Jin Y.",An improved support vector machine-based diabetic readmission prediction,2018,30.0,"National Natural Science Foundation of China

China Postdoctoral Science Foundation

Sichuan University",China
1374,"Liu W., Zhang C., Ma H., Li S.",Learning Efficient Spatial-Temporal Gait Features with Deep Learning for Human Identification,2018,30.0,"National Natural Science Foundation of China

Beijing Education Committee Cooperation Building Foundation Project",China
1375,"Wang L., Zhang Z., Huang C., Tsui K.L.",A GPU-accel erated parallel Jaya algorithm for efficiently estimating Li-ion battery model parameters,2018,30.0,"National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities",China
1376,"Chen Y., Yang M., Chen X., Liu B., Wang H., Wang S.",Sensorineural hearing loss detection via discrete wavelet transform and principal component analysis combined with generalized eigenvalue proximal support vector machine and Tikhonov regularization,2018,30.0,"National Natural Science Foundation of China

Natural Science Foundation of Jiangsu Province

Nanjing University of Science and Technology

Natural Science Research of Jiangsu Higher Education Institutions of China

Key Laboratory of Image and Video Understanding for Social Safety",China
1377,"Xue L., Sun C., Wunsch D., Zhou Y., Yu F.",An adaptive strategy via reinforcement learning for the prisoner's dilemma game,2018,30.0,"Jiangsu Province Postdoctoral Science Foundation

National Natural Science Foundation of China

China Postdoctoral Science Foundation

Natural Science Foundation of Jiangsu Province

Priority Academic Program Development of Jiangsu Higher Education Institutions

",China
1378,"Luo Q., Duan H.",Distributed UAV flocking control based on homing pigeon hierarchical strategies,2017,30.0,"National Natural Science Foundation of China

Aeronautical Science Foundation of China

CAST Innovation Foundation",China
1379,"Wang X., Tang L.",A machine-learning based memetic algorithm for the multi-objective permutation flowshop scheduling problem,2017,30.0,"National Natural Science Foundation of China

National Basic Research Program of China (973 Program)

Higher Education Discipline Innovation Project",China
1380,"Zhou M., Liu X., Yang J.",Evidential reasoning approach for MADM based on incomplete interval value,2017,30.0,"National Natural Science Foundation of China

Natural Science Foundation of Anhui Province",China
1381,"Zhang L., Jiang L., Li C.",A New Feature Selection Approach to Naive Bayes Text Classifiers,2016,30.0,"National Natural Science Foundation of China

Program for New Century Excellent Talents in University

Fundamental Research Funds for the Central Universities",China
1382,"Cao J., Li Q., Ji Y., He Y., Guo D.",Detection of Forwarding-Based Malicious URLs in Online Social Networks,2016,30.0,National Natural Science Foundation of China,China
1383,"Zhao X., Ning Q., Chai H., Ma Z.",Accurate in silico identification of protein succinylation sites using an iterative semi-supervised learning technique,2015,30.0,"National Natural Science Foundation of China

China Postdoctoral Science Foundation

Fundamental Research Funds for the Central Universities

Specialized Research Fund for the Doctoral Program of Higher Education of China",China
1384,"Zhao W., Zou W., Chen J.J.",Topic modeling for cluster analysis of large biological and medical datasets,2014,30.0,"U.S. Department of Energy

U.S. Food and Drug Administration

Oak Ridge Institute for Science and Education

National Natural Science Foundation of China",China
1385,"Li L., Jin Q.",P-Topologicalness and p-regularity for lattice-valued convergence spaces,2014,30.0,"National Natural Science Foundation of China

Natural Science Foundation of Shandong Province

Science and Technology Program of Hunan Province",China
1386,"Zhang C.-X., Zhang J.-S., Ji N.-N., Guo G.",Learning ensemble classifiers via restricted Boltzmann machines,2014,30.0,"National Natural Science Foundation of China

National Key Research and Development Program of China

Fundamental Research Funds for the Central Universities

Specialized Research Fund for the Doctoral Program of Higher Education of China",China
1387,"Wu X., Zhao R., Tang W.",Uncertain agency models with multi-dimensional incomplete information based on confidence level,2014,30.0,"National Natural Science Foundation of China

Program for New Century Excellent Talents in University",China
1388,"Zheng Y., Lin S., Kang S.B., Xiao R., Gee J.C., Kambhamettu C.",Single-image vignetting correction from gradient distribution symmetries,2013,30.0,"National Institute on Drug Abuse

National Eye Institute

National Institute of Neurological Disorders and Stroke

National Institute of Biomedical Imaging and Bioengineering",China
1389,"Ren Z., Yuan J., Liu W.",Minimum near-convex shape decomposition,2013,30.0,0,China
1390,"Pei Y., Huang F., Shi F., Zha H.",Unsupervised image matching based on manifold alignment,2012,30.0,National Natural Science Foundation of China,China
1391,"Yang Y., Wang Y., Yuan X., Yin F.",Hybrid chaos optimization algorithm with artificial emotion,2012,30.0,"National Natural Science Foundation of China

National High-tech Research and Development Program",China
1392,"Chen H., Du B., Huang G.Q.",Metaheuristics to minimise makespan on parallel batch processing machines with dynamic job arrivals,2010,30.0,"National Natural Science Foundation of China

Specialized Research Fund for the Doctoral Program of Higher Education of China",China
1393,"Chen H., Lv F., Lin T., Chen S.",Closed-loop control of robotic arc welding system with full-penetration monitoring,2009,30.0,National Natural Science Foundation of China,China
1394,"Zheng C.-H., Huang D.-S., Kong X.-Z., Zhao X.-M.",Gene Expression Data Classification Using Consensus Independent Component Analysis,2008,30.0,"National Natural Science Foundation of China

China Postdoctoral Science Foundation",China
1395,"Chen X., Guo L., Fan Z., Jiang T.",W-AlignACE: An improved Gibbs sampling algorithm based on more accurate position weight matrices learned from sequence and gene expression/ChIP-chip data,2008,30.0,"National Science Foundation

National Institutes of Health

U.S. National Library of Medicine

Ministry of Education - Singapore

National Natural Science Foundation of China

Tsinghua University",China
1396,"Harmon S.A., Sanford T.H., Xu S., Turkbey E.B., Roth H., Xu Z., Yang D., Myronenko A., Anderson V., Amalou A., Blain M., Kassin M., Long D., Varble N., Walker S.M., Bagci U., Ierardi A.M., Stellato E., Plensich G.G., Franceschelli G., Girlando C., Irmici G., Labella D., Hammoud D., Malayeri A., Jones E., Summers R.M., Choyke P.L., Xu D., Flores M., Tamura K., Obinata H., Mori H., Patella F., Cariati M., Carrafiello G., An P., Wood B.J., Turkbey B.",Artificial intelligence for the detection of COVID-19 pneumonia on chest CT using multinational datasets,2020,29.0,"National Institutes of Health

National Cancer Institute

Société Française de Radiologie",China
1397,"Chen M., Wang T., Ota K., Dong M., Zhao M., Liu A.",Intelligent resource allocation management for vehicles network: An A3C learning approach,2020,29.0,"Japan Society for the Promotion of Science

Ministry of Education, Culture, Sports, Science and Technology

National Natural Science Foundation of China

KDDI Foundation",China
1398,"Chen W., Li Y., Tsangaratos P., Shahabi H., Ilia I., Xue W., Bian H.","Groundwater spring potential mapping using artificial intelligence approach based on kernel logistic regression, random forest, and alternating decision tree models",2020,29.0,"National Natural Science Foundation of China

China Postdoctoral Science Foundation

Shaanxi Province Postdoctoral Science Foundation

Science and Technology Major Project of Guangxi",China
1399,"Wang P., Yao J., Wang G., Hao F., Shrestha S., Xue B., Xie G., Peng Y.",Exploring the application of artificial intelligence technology for identification of water pollution characteristics and tracing the source of water quality pollutants,2019,29.0,"National Natural Science Foundation of China

Major Science and Technology Program for Water Pollution Control and Treatment",China
1400,"Hu J., Zhang H., Song L.",Reinforcement Learning for Decentralized Trajectory Design in Cellular UAV Networks with Sense-and-Send Protocol,2019,29.0,National Natural Science Foundation of China,China
1401,"Jia W., Li Y., Qu R., Baranowski T., Burke L.E., Zhang H., Bai Y., Mancino J.M., Xu G., Mao Z.-H., Sun M.",Automatic food detection in egocentric images using artificial intelligence technology,2019,29.0,"National Institutes of Health

National Heart, Lung, and Blood Institute

National Cancer Institute

M.S.I. Foundation

National Natural Science Foundation of China

National Basic Research Program of China (973 Program)",China
1402,"Xiong K., Leng S., Hu J., Chen X., Yang K.",Smart Network Slicing for Vehicular Fog-RANs,2019,29.0,"National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

Fundamental Research Funds for the Central Universities",China
1403,"Mao J.-Y., Zhou L., Ren Y., Yang J.-Q., Chang C.-L., Lin H.-C., Chou H.-H., Zhang S.-R., Zhou Y., Han S.-T.",A bio-inspired electronic synapse using solution processable organic small molecule,2019,29.0,"National Natural Science Foundation of China

Ministry of Science and Technology, Taiwan

Department of Education of Guangdong Province",China
1404,"Zhao S., Ni Z., Tan H., Wang Y., Jin H., Nie T., Xu M., Pi X., Yang D.",Electroluminescent synaptic devices with logic functions,2018,29.0,"National Natural Science Foundation of China

National Basic Research Program of China (973 Program)",China
1405,"Li Z., Wu W., Liu X., Qi P.",Improved cooperative spectrum sensing model based on machine learning for cognitive radio networks,2018,29.0,National Natural Science Foundation of China,China
1406,"Qiao L., Zhang L., Chen S., Shen D.",Data-driven graph construction and graph learning: A review,2018,29.0,"National Institutes of Health

National Natural Science Foundation of China

Natural Science Foundation of Shandong Province",China
1407,"Yang M., Zhao X., Tang Q., Cui N., Wang Z., Tong Y., Liu Y.",Stretchable and conformable synapse memristors for wearable and implantable electronics,2018,29.0,"National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities

Higher Education Discipline Innovation Project",China
1408,"Zhang Z., Hu F., Zhang N.",Ant colony algorithm for satellite control resource scheduling problem,2018,29.0,National Natural Science Foundation of China,China
1409,"Ren Z., Dong D., Li H., Chen C.",Self-Paced Prioritized Curriculum Learning with Coverage Penalty in Deep Reinforcement Learning,2018,29.0,"Australian Research Council

National Natural Science Foundation of China

National Key Research and Development Program of China",China
1410,"Hong H., Zhang L., Gu C., Li Y., Zhou G., Zhu X.",Noncontact Sleep Stage Estimation Using a CW Doppler Radar,2018,29.0,"National Natural Science Foundation of China

Natural Science Foundation of Jiangsu Province

Fundamental Research Funds for the Central Universities",China
1411,"Ahmad T., Chen H.",Utility companies strategy for short-term energy demand forecasting using machine learning based models,2018,29.0,National Natural Science Foundation of China,China
1412,"Zhu X., Pedrycz W., Li Z.",Granular Data Description: Designing Ellipsoidal Information Granules,2017,29.0,"National Natural Science Foundation of China

Science and Technology Development Fund

Recruitment Program of Global Experts",China
1413,"Chen W., Liu J., Li Q., Guo A., Dai C.",Review and Prospect of Fault Diagnosis Methods for Proton Exchange Membrane Fuel Cell,2017,29.0,National Natural Science Foundation of China,China
