,area_type,availability,location,size,society,total_sqft,bath,balcony,price
2406,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1583,3.0,3.0,105.0
2407,Built-up  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,,3300,4.0,0.0,150.0
2408,Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Bhise P,1100,2.0,2.0,65.0
2409,Plot  Area,Ready To Move,Thyagaraja Nagar,1 Bedroom,,800,1.0,1.0,100.0
2410,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2.0,1.0,65.0
2411,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,SaisePa,850,2.0,3.0,28.0
2412,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2.0,2.0,51.51
2413,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1697,3.0,2.0,114.0
2414,Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,,1000,2.0,0.0,64.0
2415,Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,,1567,3.0,3.0,90.0
2416,Plot  Area,19-Jan,Anekal,2 Bedroom,,1200,1.0,1.0,36.0
2417,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Co IIla,3750,6.0,3.0,290.0
2418,Super built-up  Area,Ready To Move,Veerannapalya,2 BHK,,950,2.0,2.0,45.0
2419,Super built-up  Area,Ready To Move,Howthinarayanappa Garden,2 BHK,Vidil D,1022,2.0,2.0,52.0
2420,Super built-up  Area,Ready To Move,Kammasandra,2 BHK,PaigeMa,1018,2.0,0.0,23.45
2421,Plot  Area,Ready To Move,Basavanagara,4 Bedroom,,2000,3.0,2.0,25.0
2422,Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1322,2.0,2.0,68.0
2423,Plot  Area,Ready To Move,Marsur,4 Bedroom,AreraRe,1800,4.0,2.0,145.0
2424,Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,1460,2.0,2.0,58.39
2425,Super built-up  Area,18-May,SRINIVASAPURA,2 BHK,,990,2.0,1.0,44.55
2426,Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,Sancybr,2400,3.0,1.0,260.0
2427,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Lallere,1635,2.0,2.0,85.0
2428,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3526,4.0,1.0,558.0
2429,Built-up  Area,Ready To Move,Padmanabhanagar,4 Bedroom,,3400,3.0,1.0,210.0
2430,Built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,3.0,1.0,460.0
2432,Super built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1533,3.0,2.0,85.0
2433,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Hiows C,1720,3.0,1.0,134.0
2434,Super built-up  Area,Ready To Move,Frazer Town,3 BHK,,2000,3.0,1.0,200.0
2435,Super built-up  Area,18-Aug,Yeshwanthpur,2 BHK,Aroomba,1185,2.0,2.0,75.84
2436,Super built-up  Area,19-Dec,Varthur Road,2 BHK,,900,2.0,1.0,27.0
2437,Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,395,1.0,1.0,10.25
2438,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031,2.0,1.0,56.35
2439,Plot  Area,Ready To Move,3rd Block Banashankari,6 Bedroom,,2400,8.0,2.0,650.0
2440,Super built-up  Area,Ready To Move,Thanisandra,4 BHK,G conTh,2650,4.0,2.0,240.0
2441,Plot  Area,Ready To Move,Basaveshwara Nagar,5 Bedroom,,2400,5.0,1.0,415.0
2442,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,46.55
2443,Super built-up  Area,Ready To Move,Hennur,2 BHK,Exitym ,1259,2.0,2.0,57.0
2444,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GRvanun,1570,3.0,2.0,88.0
2445,Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,36.0
2446,Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216,2.0,1.0,79.0
2447,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Srisei ,1428,2.0,2.0,66.0
2448,Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1160,2.0,2.0,40.59
2449,Plot  Area,18-Feb, ittamadu,3 Bedroom,,600,2.0,1.0,110.0
2450,Super built-up  Area,Ready To Move,Doddakannelli,3 BHK,SastyDy,1475,3.0,2.0,70.0
2451,Super built-up  Area,Ready To Move,Harlur,3 BHK,,1754,3.0,2.0,135.0
2452,Super built-up  Area,18-Feb,Rayasandra,3 BHK,,1639,3.0,1.0,83.0
2453,Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1804,3.0,2.0,102.0
2454,Plot  Area,18-Aug,Whitefield,3 Bedroom,,1200,3.0,2.0,56.2
2455,Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1135,2.0,3.0,55.0
2456,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1260,2.0,2.0,46.62
2457,Plot  Area,Ready To Move,Peenya,5 Bedroom,,1440,5.0,1.0,110.0
2458,Built-up  Area,Ready To Move,Hennur Road,3 BHK,Asadacy,2160,3.0,2.0,160.0
2459,Plot  Area,Ready To Move,Rayasandra,7 Bedroom,,700,6.0,,85.0
2460,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1220,2.0,2.0,59.5
2461,Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,1200,2.0,0.0,67.0
2462,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Chara N,1300,2.0,3.0,65.0
2463,Super built-up  Area,Ready To Move,Cox Town,1 BHK,EGdiaAr,605,1.0,1.0,29.0
2464,Plot  Area,Ready To Move,Vijayanagar,6 Bedroom,,1230,4.0,1.0,210.0
2465,Super built-up  Area,18-Apr,Bhoganhalli,2 BHK,Rosha I,1444,2.0,1.0,75.97
2466,Built-up  Area,Ready To Move,Amruthahalli,2 BHK,,924,2.0,1.0,45.0
2467,Super built-up  Area,18-Nov,Kaikondrahalli,2 BHK,,1000,2.0,1.0,30.0
2468,Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,,600,4.0,0.0,95.0
2469,Plot  Area,Ready To Move,Patelappa Layout,3 Bedroom,,1200,3.0,3.0,225.0
2470,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,29.0
2471,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,35.0
2472,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1187,2.0,2.0,58.0
2473,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Saconp ,1625,3.0,2.0,55.0
2474,Plot  Area,Ready To Move, Devarachikkanahalli,2 Bedroom,,1200,2.0,2.0,83.0
2476,Built-up  Area,Ready To Move,"Thanisandra Main Road, ",3 BHK,,2357,3.0,2.0,151.0
2477,Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,1200,2.0,1.0,49.5
2478,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2.0,2.0,56.85
2479,Built-up  Area,Ready To Move,Basavangudi,1 Bedroom,,600,1.0,0.0,97.5
2480,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1660,3.0,3.0,75.0
2481,Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Rakulai,1170,2.0,3.0,105.0
2482,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Srhts P,1448,2.0,2.0,68.0
2483,Super built-up  Area,18-May,Kadugodi,3 BHK,Alestrb,1762,3.0,3.0,110.0
2484,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105,2.0,1.0,38.65
2485,Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1825,3.0,1.0,105.0
2486,Super built-up  Area,19-Dec, Bhoganhalli,1 RK,Rosha I,296,1.0,0.0,22.89
2487,Plot  Area,Ready To Move,Kumbalgodu,5 Bedroom,,1200,4.0,1.0,85.0
2488,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2.0,2.0,43.0
2489,Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1320,2.0,1.0,38.12
2490,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Suelsa ,1058,2.0,1.0,48.0
2491,Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1220,2.0,2.0,60.0
2492,Super built-up  Area,18-Aug,Sarjapur,2 BHK,,925,2.0,1.0,25.0
2493,Super built-up  Area,18-May,Old Madras Road,2 BHK,Brglede,1200,2.0,1.0,72.0
2494,Super built-up  Area,Ready To Move,Kengeri,3 BHK,,1160,2.0,2.0,40.6
2495,Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,,600,4.0,3.0,72.0
2496,Super built-up  Area,18-Jul,banashankari stage iii sa,3 BHK,,1411,3.0,2.0,91.72
2497,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,78.0
2498,Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,,3250,4.0,3.0,230.0
2499,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2475,4.0,,130.0
2501,Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,Puarero,2503,4.0,0.0,188.0
2502,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2524,5.0,2.0,190.0
2503,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1063,2.0,2.0,42.0
2504,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1077,2.0,1.0,37.7
2505,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1200,3.0,2.0,44.0
2506,Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,,1500,3.0,2.0,70.0
2507,Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Vaniai ,1045,2.0,2.0,76.77
2508,Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1290,2.0,3.0,45.15
2509,Super built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1400,2.0,1.0,78.0
2510,Built-up  Area,Ready To Move,Begur Road,3 BHK,,1600,3.0,2.0,58.14
2511,Super built-up  Area,Ready To Move,Jayanagar,3 BHK,,3095,3.0,3.0,375.0
2512,Super built-up  Area,Ready To Move,Nagavara,3 BHK,,1545,2.0,1.0,58.0
2513,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1680,3.0,1.0,112.0
2514,Built-up  Area,Ready To Move,Amruthnagar,2 BHK,,1350,2.0,1.0,67.5
2515,Super built-up  Area,Ready To Move,Gottigere,2 BHK,,950,2.0,1.0,38.0
2516,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,,1050,2.0,2.0,45.0
2517,Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,,1305,2.0,2.0,49.0
2518,Plot  Area,Ready To Move,Hosakerehalli,4 Bedroom,,800,4.0,2.0,120.0
2519,Built-up  Area,18-Feb,Kodichikkanahalli,5 BHK,,2700,7.0,2.0,125.0
2520,Plot  Area,Ready To Move,MS Pallya,3 Bedroom,,1100,3.0,1.0,78.0
2521,Built-up  Area,Ready To Move,Thanisandra,6 Bedroom,,3500,5.0,0.0,160.0
2522,Super built-up  Area,19-Oct,Begur Road,3 BHK,Pruthg ,1634,3.0,1.0,83.33
2523,Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,2.0,2.0,85.0
2524,Super built-up  Area,17-Sep,Balagere,2 BHK,HiqueMa,1145,2.0,2.0,65.0
2525,Super built-up  Area,18-May,Alfa Garden Layout,2 BHK,,1240,2.0,,43.79
2526,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2200,3.0,2.0,190.0
2527,Super built-up  Area,18-Mar,Bommasandra Industrial Area,2 BHK,,1020,2.0,1.0,39.0
2528,Super built-up  Area,Ready To Move,Palace Guttahalli,4 BHK,,3600,4.0,,365.0
2529,Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2 BHK,Prllsan,1168,2.0,1.0,61.0
2530,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,SNbay G,1205,2.0,1.0,75.0
2531,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Vatra N,1195,2.0,2.0,100.0
2532,Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,,1028,2.0,1.0,49.0
2533,Super built-up  Area,Ready To Move,Akshya Nagar,2 BHK,,1175,2.0,2.0,48.27
2534,Super built-up  Area,Ready To Move,Pai Layout,3 BHK,Saent A,1550,2.0,2.0,90.0
2535,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,,1826,3.0,2.0,165.0
2536,Plot  Area,Ready To Move,Hoodi,5 Bedroom,,2400,5.0,2.0,160.0
2537,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1603,3.0,2.0,96.0
2538,Built-up  Area,Ready To Move,Marathahalli,3 BHK,,1350,3.0,1.0,72.0
2539,Built-up  Area,Ready To Move,KR Puram,1 BHK,,714,1.0,1.0,28.0
2540,Super built-up  Area,18-Nov,Whitefield,2 BHK,,1215,2.0,3.0,65.0
2541,Built-up  Area,Ready To Move,Malleshpalya,3 BHK,MancyRe,1405,2.0,2.0,77.0
2542,Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1142,2.0,1.0,51.0
2543,Built-up  Area,Ready To Move,Akshaya Vana,4 Bedroom,,4000,4.0,3.0,170.0
2544,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1870,3.0,2.0,90.0
2545,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Chllsev,1313,2.0,2.0,73.0
2546,Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1945,3.0,3.0,120.0
2547,Super built-up  Area,17-Jul,Thanisandra,3 BHK,Bhmesy ,1573,3.0,2.0,95.0
2548,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,1255,2.0,1.0,92.0
2549,Super built-up  Area,Ready To Move,Benson Town,4 BHK,,1400,3.0,2.0,91.15
2550,Super built-up  Area,18-May,Kannamangala,2 BHK,,1235,2.0,2.0,43.63
2551,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1380,2.0,1.0,52.0
2552,Plot  Area,Ready To Move,Ramamurthy Nagar,7 Bedroom,,1500,9.0,2.0,250.0
2553,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1238,2.0,1.0,67.0
2554,Super built-up  Area,18-Oct,Chennammana Kere,3 BHK,,1465,2.0,3.0,74.72
2555,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,,1418,2.0,2.0,103.0
2556,Super built-up  Area,Ready To Move,Victoria Layout,3 BHK,,1650,3.0,1.0,165.0
2557,Built-up  Area,Ready To Move, Anekal,1 RK,,351,1.0,1.0,16.0
2558,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sagnage,1279,2.0,2.0,48.0
2559,Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,,1870,3.0,1.0,200.0
2560,Plot  Area,Ready To Move,BCC Layout,4 Bedroom,,1500,5.0,1.0,230.0
2561,Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2526,2.0,2.0,250.0
2562,Plot  Area,Ready To Move,Mathikere,3 Bedroom,,1550,2.0,1.0,150.0
2564,Super built-up  Area,18-Aug,Uttarahalli,3 BHK,DSera S,1845,2.0,1.0,68.27
2565,Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1360,2.0,1.0,59.27
2566,Built-up  Area,Ready To Move,Friends Colony,3 BHK,,1150,2.0,1.0,75.0
2567,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1260,2.0,2.0,49.5
2568,Plot  Area,Ready To Move,Doddabidrakallu,3 Bedroom,,1200,3.0,1.0,74.0
2569,Built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,965,2.0,1.0,42.5
2570,Built-up  Area,Ready To Move,Hoodi,3 BHK,Adion M,1350,2.0,3.0,48.0
2571,Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447,2.0,1.0,75.97
2572,Super built-up  Area,Ready To Move,Arehalli,3 BHK,,1229,3.0,1.0,86.03
2573,Super built-up  Area,Ready To Move,Kudlu,2 BHK,,1027,2.0,2.0,43.0
2574,Super built-up  Area,Ready To Move,Gottigere,2 BHK,M denGa,1153,2.0,1.0,48.5
2576,Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,A idse ,1065,2.0,2.0,50.0
2577,Built-up  Area,Ready To Move,Tala Cauvery Layout,2 BHK,Skarkev,1030,2.0,3.0,61.0
2578,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,,1340,2.0,2.0,61.0
2579,Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,4000,5.0,,212.0
2580,Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,1 Bedroom,,600,1.0,0.0,32.0
2581,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,44.42
2582,Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1055,2.0,2.0,45.35
2583,Super built-up  Area,18-May,Yelahanka,2 BHK,Prensya,1304,2.0,1.0,79.0
2584,Super built-up  Area,18-Feb,Sadashiva Nagar,4 BHK,,2720,4.0,1.0,485.0
2585,Built-up  Area,Ready To Move,Kammasandra,2 BHK,Puitea ,990,2.0,1.0,31.5
2586,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1035,2.0,1.0,39.33
2588,Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,,1120,2.0,2.0,43.0
2589,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,73.0
2590,Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1239,2.0,1.0,82.0
2591,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Daivon ,1403,3.0,3.0,51.63
2592,Super built-up  Area,Ready To Move,Hosa Road,2 BHK,Sosisic,1365,2.0,1.0,92.0
2593,Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,Sid 2ss,1165,2.0,1.0,135.0
2594,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,,1130,2.0,3.0,45.19
2596,Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,,900,4.0,3.0,175.0
2597,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,47.0
2598,Super built-up  Area,Ready To Move,Bidadi,2 BHK,Etuney ,1107,2.0,2.0,33.0
2599,Super built-up  Area,Ready To Move,Nagavara,3 BHK,,2319,3.0,2.0,180.0
2600,Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,DNtonri,1520,3.0,3.0,80.0
2601,Super built-up  Area,19-Jul,Kannamangala,3 BHK,Sonue A,1536,3.0,1.0,89.0
2602,Built-up  Area,Ready To Move,Teachers Colony,4 BHK,,3000,4.0,2.0,240.0
2603,Super built-up  Area,Ready To Move,Belathur,2 BHK,Viiniai,1050,2.0,1.0,38.0
2604,Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1850,3.0,2.0,146.0
2605,Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Diisein,1112,2.0,2.0,62.0
2606,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1535,3.0,2.0,72.5
2607,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1050,2.0,1.0,35.0
2608,Plot  Area,Ready To Move,Banashankari,4 Bedroom,,2400,3.0,2.0,370.0
2609,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,JDensar,1250,3.0,2.0,65.0
2610,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,CSvelMa,1187,2.0,3.0,52.0
2611,Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,,1164,2.0,1.0,56.0
2612,Super built-up  Area,18-May,Electronic City Phase II,3 BHK,SNbay G,1395,2.0,1.0,62.78
2613,Super built-up  Area,18-Jul,Arekere,3 BHK,RRnumn ,2072,3.0,2.0,108.0
2614,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3.0,3.0,60.91
2615,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550,3.0,2.0,82.0
2616,Super built-up  Area,Ready To Move,Sampige Layout,2 BHK,,1315,2.0,2.0,90.0
2617,Super built-up  Area,19-Dec,Hebbal,4 BHK,SNontle,3067,4.0,3.0,230.0
2618,Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,Saeur G,1210,2.0,2.0,72.0
2619,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,47.0
2620,Super built-up  Area,Ready To Move,Sathya Sai Layout,6 BHK,Prowshi,11338,9.0,1.0,1000.0
2621,Super built-up  Area,18-May,Virgonagar,3 BHK,,1215,3.0,1.0,42.2
2622,Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Prmesad,1470,2.0,2.0,75.0
2623,Plot  Area,18-Jul,Dodsworth Layout,4 Bedroom,,30000,4.0,,2100.0
2624,Built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590,2.0,2.0,125.0
2625,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1050,2.0,1.0,36.75
2626,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1306,2.0,1.0,55.91
2627,Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maens G,2000,3.0,2.0,250.0
2628,Built-up  Area,Ready To Move,"Kudlu Village, ",3 BHK,,1445,3.0,2.0,64.0
2629,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1220,3.0,2.0,58.0
2630,Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm ,3190,3.0,1.0,160.0
2631,Super built-up  Area,18-May,Ramagondanahalli,2 BHK,ViistLa,1215,2.0,1.0,51.26
2632,Built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1920,2.0,1.0,88.0
2633,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1390,2.0,2.0,60.0
2634,Plot  Area,Ready To Move,Battarahalli,3 Bedroom,,800,2.0,1.0,75.0
2635,Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,600,3.0,2.0,100.0
2636,Super built-up  Area,21-Jul,Hoodi,2 BHK,GoAirej,1196,2.0,0.0,71.74
2637,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Siaraa ,1550,2.0,2.0,75.0
2638,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,101.0
2639,Super built-up  Area,19-Mar,Varthur Road,3 BHK,,1655,3.0,2.0,115.0
2640,Built-up  Area,Ready To Move,KR Puram,2 BHK,SancyRe,1115,2.0,2.0,33.45
2641,Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,NCiteEl,1170,2.0,2.0,68.0
2642,Super built-up  Area,Ready To Move,Anekal,2 BHK,Sraveks,1035,2.0,2.0,38.3
2643,Super built-up  Area,Ready To Move,Singasandra,3 BHK,,1306,2.0,2.0,58.0
2644,Super built-up  Area,18-Dec,Kengeri,2 BHK,VBn 2lm,750,2.0,2.0,22.0
2645,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1917,3.0,3.0,122.0
2646,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Frowsru,1615,3.0,3.0,58.0
2647,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1071,2.0,2.0,52.25
2648,Super built-up  Area,Ready To Move,Koramangala,2 BHK,Suryais,1325,2.0,2.0,119.0
2649,Plot  Area,Ready To Move,Malleshwaram,7 Bedroom,,3000,4.0,2.0,900.0
2650,Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1400,2.0,1.0,88.0
2651,Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1246,2.0,1.0,82.0
2652,Built-up  Area,Ready To Move,Sarjapur,2 BHK,Coa It ,1215,2.0,0.0,40.0
2653,Super built-up  Area,Ready To Move,Munnekollal,2 BHK,Akave E,1200,2.0,2.0,49.5
2654,Plot  Area,Ready To Move,Kurubarahalli,4 Bedroom,,450,3.0,1.0,53.0
2655,Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1200,2.0,2.0,60.0
2656,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,945,2.0,2.0,50.0
2657,Super built-up  Area,Ready To Move,Benson Town,4 BHK,,4460,5.0,,650.0
2658,Super built-up  Area,Ready To Move,Hormavu,2 BHK,Nadhian,1175,2.0,1.0,52.0
2659,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,920,2.0,1.0,63.0
2660,Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3024,5.0,1.0,350.0
2661,Plot  Area,Ready To Move,Bidadi,2 Bedroom,,1600,2.0,2.0,110.0
2662,Plot  Area,Ready To Move,Sanjay nagar,4 Bedroom,,750,2.0,0.0,110.0
2663,Plot  Area,Ready To Move,Sector 4 HSR Layout,4 Bedroom,,2400,4.0,,700.0
2664,Built-up  Area,Ready To Move,Bhagyalakshmi Avenue,2 BHK,Prineth,955,1.0,2.0,34.01
2665,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3.0,3.0,100.0
2666,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Suitea ,1425,2.0,2.0,64.0
2667,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Brsic C,2150,3.0,2.0,265.0
2668,Super built-up  Area,20-Dec,Whitefield,2 BHK,,1165,2.0,1.0,40.5
2669,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Maidei ,1050,2.0,2.0,48.0
2670,Super built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,ShourSp,1370,2.0,2.0,75.0
2671,Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1374,2.0,1.0,72.0
2672,Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1754,3.0,2.0,124.0
2673,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3.0,2.0,110.0
2674,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1850,4.0,3.0,139.0
2675,Plot  Area,18-May,Chikka Tirupathi,3 Bedroom,Theanmp,3297,3.0,1.0,135.0
2676,Super built-up  Area,Ready To Move,Doddakannelli,2 BHK,BMtusLo,1187,2.0,2.0,45.0
2677,Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,,1400,2.0,1.0,40.44
2678,Plot  Area,Ready To Move,Kengeri Hobli,3 Bedroom,,600,2.0,0.0,30.0
2679,Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,,1350,2.0,3.0,180.0
2680,Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,Raourpl,3000,2.0,2.0,120.0
2681,Super built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,693,1.0,1.0,34.3
2682,Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1980,3.0,2.0,224.0
2683,Super built-up  Area,Ready To Move,KR Puram,2 BHK,Saavem ,1021,2.0,1.0,48.0
